id,name,kota_id/id,code
wilayah_kecamatan_35.07.06,Ampelgading,wilayah_kota_35.07,06
wilayah_kecamatan_52.71.01,Ampenan,wilayah_kota_52.71,01
wilayah_kecamatan_72.08.02,Ampibabo,wilayah_kota_72.08,02
wilayah_kecamatan_95.03.11,Amuma,wilayah_kota_95.03,11
wilayah_kecamatan_94.05.23,Amungkalpia,wilayah_kota_94.05,23
wilayah_kecamatan_63.08.04,Amuntai Selatan,wilayah_kota_63.08,04
wilayah_kecamatan_63.08.05,Amuntai Tengah,wilayah_kota_63.08,05
wilayah_kecamatan_63.08.06,Amuntai Utara,wilayah_kota_63.08,06
wilayah_kecamatan_71.05.10,Amurang,wilayah_kota_71.05,10
wilayah_kecamatan_71.05.17,Amurang Barat,wilayah_kota_71.05,17
wilayah_kecamatan_71.05.18,Amurang Timur,wilayah_kota_71.05,18
wilayah_kecamatan_18.02.27,Anak Ratu Aji,wilayah_kota_18.02,27
wilayah_kecamatan_18.02.21,Anak Tuha,wilayah_kota_18.02,21
wilayah_kecamatan_95.04.36,Anawi,wilayah_kota_95.04,36
wilayah_kecamatan_12.01.12,Andam Dewi,wilayah_kota_12.01,12
wilayah_kecamatan_91.06.14,Andey,wilayah_kota_91.06,14
wilayah_kecamatan_32.73.05,Andir,wilayah_kota_32.73,05
wilayah_kecamatan_33.09.16,Andong,wilayah_kota_33.09,16
wilayah_kecamatan_74.05.03,Andoolo,wilayah_kota_74.05,03
wilayah_kecamatan_74.05.25,Andoolo Barat,wilayah_kota_74.05,25
wilayah_kecamatan_74.09.09,Andowia,wilayah_kota_74.09,09
wilayah_kecamatan_74.05.02,Angata,wilayah_kota_74.05,02
wilayah_kecamatan_74.02.24,Anggaberi,wilayah_kota_74.02,24
wilayah_kecamatan_74.02.40,Anggalomoare,wilayah_kota_74.02,40
wilayah_kecamatan_64.02.04,Anggana,wilayah_kota_64.02,04
wilayah_kecamatan_73.16.04,Anggeraja,wilayah_kota_73.16,04
wilayah_kecamatan_92.12.01,Anggi,wilayah_kota_92.12,01
wilayah_kecamatan_92.12.02,Anggi Gida,wilayah_kota_92.12,02
wilayah_kecamatan_75.05.03,Anggrek,wilayah_kota_75.05,03
wilayah_kecamatan_95.03.02,Anggruk,wilayah_kota_95.03,02
wilayah_kecamatan_91.05.04,Angkaisera,wilayah_kota_91.05,04
wilayah_kecamatan_63.06.04,Angkinang,wilayah_kota_63.06,04
wilayah_kecamatan_12.03.01,Angkola Barat,wilayah_kota_12.03,01
wilayah_kecamatan_12.03.32,Angkola Muara Tais,wilayah_kota_12.03,32
wilayah_kecamatan_12.03.31,Angkola Sangkunur,wilayah_kota_12.03,31
wilayah_kecamatan_12.03.06,Angkola Selatan,wilayah_kota_12.03,06
wilayah_kecamatan_12.03.03,Angkola Timur,wilayah_kota_12.03,03
wilayah_kecamatan_73.24.05,Angkona,wilayah_kota_73.24,05
wilayah_kecamatan_36.01.07,Angsana,wilayah_kota_36.01,07
wilayah_kecamatan_63.10.09,Angsana,wilayah_kota_63.1,09
wilayah_kecamatan_93.01.13,Animha,wilayah_kota_93.01,13
wilayah_kecamatan_32.12.23,Anjatan,wilayah_kota_32.12,23
wilayah_kecamatan_63.04.04,Anjir Muara,wilayah_kota_63.04,04
wilayah_kecamatan_63.04.03,Anjir Pasar,wilayah_kota_63.04,03
wilayah_kecamatan_61.02.16,Anjongan,wilayah_kota_61.02,16
wilayah_kecamatan_91.05.15,Anotaurei,wilayah_kota_91.05,15
wilayah_kecamatan_76.04.13,Anreapi,wilayah_kota_76.04,13
wilayah_kecamatan_62.02.10,Antang Kalang,wilayah_kota_62.02,10
wilayah_kecamatan_32.73.20,Antapani,wilayah_kota_32.73,20
wilayah_kecamatan_36.04.30,Anyar,wilayah_kota_36.04,30
wilayah_kecamatan_95.06.02,Apalapsili,wilayah_kota_95.06,02
wilayah_kecamatan_91.10.09,Apawer Hulu,wilayah_kota_91.1,09
wilayah_kecamatan_94.03.03,Aradide,wilayah_kota_94.03,03
wilayah_kecamatan_32.12.19,Arahan,wilayah_kota_32.12,19
wilayah_kecamatan_76.03.02,Aralle,wilayah_kota_76.03,02
wilayah_kecamatan_12.14.15,Aramo,wilayah_kota_12.14,15
wilayah_kecamatan_92.06.04,Aranday,wilayah_kota_92.06,04
wilayah_kecamatan_63.03.11,Aranio,wilayah_kota_63.03,11
wilayah_kecamatan_32.73.24,Arcamanik,wilayah_kota_32.73,24
wilayah_kecamatan_32.10.05,Argapura,wilayah_kota_32.1,05
wilayah_kecamatan_33.73.03,Argomulyo,wilayah_kota_33.73,03
wilayah_kecamatan_92.03.13,Arguni,wilayah_kota_92.03,13
wilayah_kecamatan_93.02.09,Arimop,wilayah_kota_93.02,09
wilayah_kecamatan_35.09.22,Arjasa,wilayah_kota_35.09,22
wilayah_kecamatan_35.12.11,Arjasa,wilayah_kota_35.12,11
wilayah_kecamatan_35.29.24,Arjasa,wilayah_kota_35.29,24
wilayah_kecamatan_32.04.16,Arjasari,wilayah_kota_32.04,16
wilayah_kecamatan_32.09.24,Arjawinangun,wilayah_kota_32.09,24
wilayah_kecamatan_35.01.06,Arjosari,wilayah_kota_35.01,06
wilayah_kecamatan_17.03.21,Arma Jaya,wilayah_kota_17.03,21
wilayah_kecamatan_92.06.16,Aroba,wilayah_kota_92.06,16
wilayah_kecamatan_11.05.07,Arongan Lambalek,wilayah_kota_11.05,07
wilayah_kecamatan_35.26.05,Arosbaya,wilayah_kota_35.26,05
wilayah_kecamatan_12.03.14,Arse,wilayah_kota_12.03,14
wilayah_kecamatan_91.11.02,Arso,wilayah_kota_91.11,02
wilayah_kecamatan_91.11.08,Arso Barat,wilayah_kota_91.11,08
wilayah_kecamatan_91.11.06,Arso Timur,wilayah_kota_91.11,06
wilayah_kecamatan_81.07.02,Aru Selatan,wilayah_kota_81.07,02
wilayah_kecamatan_81.07.09,Aru Selatan Timur,wilayah_kota_81.07,09
wilayah_kecamatan_81.07.10,Aru Selatan Utara,wilayah_kota_81.07,10
wilayah_kecamatan_81.07.03,Aru Tengah,wilayah_kota_81.07,03
wilayah_kecamatan_81.07.08,Aru Tengah Selatan,wilayah_kota_81.07,08
wilayah_kecamatan_81.07.07,Aru Tengah Timur,wilayah_kota_81.07,07
wilayah_kecamatan_81.07.04,Aru Utara,wilayah_kota_81.07,04
wilayah_kecamatan_81.07.05,Aru Utara Timur Batuley,wilayah_kota_81.07,05
wilayah_kecamatan_73.04.09,Arungkeke,wilayah_kota_73.04,09
wilayah_kecamatan_62.01.02,Arut Selatan,wilayah_kota_62.01,02
wilayah_kecamatan_62.01.04,Arut Utara,wilayah_kota_62.01,04
wilayah_kecamatan_52.72.03,Asakota,wilayah_kota_52.72,03
wilayah_kecamatan_13.10.10,Asam Jujuhan,wilayah_kota_13.1,10
wilayah_kecamatan_35.78.28,Asem Rowo,wilayah_kota_35.78,28
wilayah_kecamatan_35.12.13,Asembagus,wilayah_kota_35.12,13
wilayah_kecamatan_74.09.01,Asera,wilayah_kota_74.09,01
wilayah_kecamatan_92.09.15,Ases,wilayah_kota_92.09,15
wilayah_kecamatan_74.02.31,Asinua,wilayah_kota_74.02,31
wilayah_kecamatan_95.01.03,Asologaima,wilayah_kota_95.01,03
wilayah_kecamatan_95.01.09,Asolokobal,wilayah_kota_95.01,09
wilayah_kecamatan_95.01.36,Asotipo,wilayah_kota_95.01,36
wilayah_kecamatan_75.01.21,Asparaga,wilayah_kota_75.01,21
wilayah_kecamatan_93.03.06,Assue,wilayah_kota_93.03,06
wilayah_kecamatan_63.03.07,Astambul,wilayah_kota_63.03,07
wilayah_kecamatan_32.73.10,Astana Anyar,wilayah_kota_32.73,10
wilayah_kecamatan_32.09.10,Astanajapura,wilayah_kota_32.09,10
wilayah_kecamatan_93.04.21,Aswi,wilayah_kota_93.04,21
wilayah_kecamatan_53.13.02,Atadei,wilayah_kota_53.13,02
wilayah_kecamatan_53.04.21,Atambua Barat,wilayah_kota_53.04,21
wilayah_kecamatan_53.04.22,Atambua Selatan,wilayah_kota_53.04,22
wilayah_kecamatan_75.05.01,Atinggola,wilayah_kota_75.05,01
wilayah_kecamatan_93.04.02,Atsj,wilayah_kota_93.04,02
wilayah_kecamatan_11.04.18,Atu Lintang,wilayah_kota_11.04,18
wilayah_kecamatan_13.75.03,Aur Birugo Tigo Baleh,wilayah_kota_13.75,03
wilayah_kecamatan_73.26.21,Awan Rante Karua,wilayah_kota_73.26,21
wilayah_kecamatan_62.13.04,Awang,wilayah_kota_62.13,04
wilayah_kecamatan_73.08.16,Awangpone,wilayah_kota_73.08,16
wilayah_kecamatan_63.11.03,Awayan,wilayah_kota_63.11,03
wilayah_kecamatan_94.03.22,Aweida,wilayah_kota_94.03,22
wilayah_kecamatan_95.04.42,Aweku,wilayah_kota_95.04,42
wilayah_kecamatan_95.07.21,Awina,wilayah_kota_95.07,21
wilayah_kecamatan_95.02.18,Awinbon,wilayah_kota_95.02,18
wilayah_kecamatan_93.04.22,Awyu,wilayah_kota_93.04,22
wilayah_kecamatan_33.05.01,Ayah,wilayah_kota_33.05,01
wilayah_kecamatan_92.10.08,Ayamaru,wilayah_kota_92.1,08
wilayah_kecamatan_92.10.21,Ayamaru Barat,wilayah_kota_92.1,21
wilayah_kecamatan_92.10.16,Ayamaru Jaya,wilayah_kota_92.1,16
wilayah_kecamatan_92.10.15,Ayamaru Selatan,wilayah_kota_92.1,15
wilayah_kecamatan_92.10.17,Ayamaru Selatan Jaya,wilayah_kota_92.1,17
wilayah_kecamatan_92.10.20,Ayamaru Tengah,wilayah_kota_92.1,20
wilayah_kecamatan_92.10.10,Ayamaru Timur,wilayah_kota_92.1,10
wilayah_kecamatan_92.10.18,Ayamaru Timur Selatan,wilayah_kota_92.1,18
wilayah_kecamatan_92.10.09,Ayamaru Utara,wilayah_kota_92.1,09
wilayah_kecamatan_92.10.19,Ayamaru Utara Timur,wilayah_kota_92.1,19
wilayah_kecamatan_92.05.24,Ayau,wilayah_kota_92.05,24
wilayah_kecamatan_93.04.18,Ayip,wilayah_kota_93.04,18
wilayah_kecamatan_95.07.22,Ayumnati,wilayah_kota_95.07,22
wilayah_kecamatan_62.02.05,Baamang,wilayah_kota_62.02,05
wilayah_kecamatan_35.02.16,Babadan,wilayah_kota_35.02,16
wilayah_kecamatan_11.12.06,Babah Rot,wilayah_kota_11.12,06
wilayah_kecamatan_32.09.05,Babakan,wilayah_kota_32.09,05
wilayah_kecamatan_32.73.03,Babakan Ciparay,wilayah_kota_32.73,03
wilayah_kecamatan_32.01.05,Babakan Madang,wilayah_kota_32.01,05
wilayah_kecamatan_32.14.12,Babakancikao,wilayah_kota_32.14,12
wilayah_kecamatan_12.05.14,Babalan,wilayah_kota_12.05,14
wilayah_kecamatan_35.24.05,Babat,wilayah_kota_35.24,05
wilayah_kecamatan_16.06.14,Babat Supat,wilayah_kota_16.06,14
wilayah_kecamatan_16.06.06,Babat Toman,wilayah_kota_16.06,06
wilayah_kecamatan_32.16.02,Babelan,wilayah_kota_32.16,02
wilayah_kecamatan_63.08.02,Babirik,wilayah_kota_63.08,02
wilayah_kecamatan_92.06.03,Babo,wilayah_kota_92.06,03
wilayah_kecamatan_11.02.06,Babul Makmur,wilayah_kota_11.02,06
wilayah_kecamatan_11.02.11,Babul Rahmah,wilayah_kota_11.02,11
wilayah_kecamatan_64.09.03,Babulu,wilayah_kota_64.09,03
wilayah_kecamatan_11.02.04,Babussalam,wilayah_kota_11.02,04
wilayah_kecamatan_82.04.08,Bacan,wilayah_kota_82.04,08
wilayah_kecamatan_82.04.09,Bacan Barat,wilayah_kota_82.04,09
wilayah_kecamatan_82.04.14,Bacan Barat Utara,wilayah_kota_82.04,14
wilayah_kecamatan_82.04.17,Bacan Selatan,wilayah_kota_82.04,17
wilayah_kecamatan_82.04.07,Bacan Timur,wilayah_kota_82.04,07
wilayah_kecamatan_82.04.21,Bacan Timur Selatan,wilayah_kota_82.04,21
wilayah_kecamatan_82.04.22,Bacan Timur Tengah,wilayah_kota_82.04,22
wilayah_kecamatan_73.72.01,Bacukiki,wilayah_kota_73.72,01
wilayah_kecamatan_73.72.04,Bacukiki Barat,wilayah_kota_73.72,04
wilayah_kecamatan_11.02.05,Badar,wilayah_kota_11.02,05
wilayah_kecamatan_35.06.26,Badas,wilayah_kota_35.06,26
wilayah_kecamatan_19.02.05,Badau,wilayah_kota_19.02,05
wilayah_kecamatan_61.06.14,Badau,wilayah_kota_61.06,14
wilayah_kecamatan_35.02.13,Badegan,wilayah_kota_35.02,13
wilayah_kecamatan_12.01.15,Badiri,wilayah_kota_12.01,15
wilayah_kecamatan_33.19.07,Bae,wilayah_kota_33.19,07
wilayah_kecamatan_73.22.11,Baebunta,wilayah_kota_73.22,11
wilayah_kecamatan_73.22.14,Baebunta Selatan,wilayah_kota_73.22,14
wilayah_kecamatan_14.07.05,Bagan Sinembah,wilayah_kota_14.07,05
wilayah_kecamatan_14.07.17,Bagan Sinembah Raya,wilayah_kota_14.07,17
wilayah_kecamatan_33.06.04,Bagelen,wilayah_kota_33.06,04
wilayah_kecamatan_35.18.14,Bagor,wilayah_kota_35.18,14
wilayah_kecamatan_81.71.03,Baguala,wilayah_kota_81.71,03
wilayah_kecamatan_92.01.44,Bagun,wilayah_kota_92.01,44
wilayah_kecamatan_15.05.10,Bahar Selatan,wilayah_kota_15.05,10
wilayah_kecamatan_15.05.09,Bahar Utara,wilayah_kota_15.05,09
wilayah_kecamatan_65.02.11,Bahau Hulu,wilayah_kota_65.02,11
