name,kode,kecamatan_id
Afrawi,2006,22
Afu Afu,2019,3
Afulu,2001,9
Again,2006,41
Agak,2003,10
Agamoa,2006,40
Agandugume,2001,7
Agani,2007,3
Agapa,2014,2
Agape,2002,18
Agapo,2002,3
Agel,2008,12
Agenggen,2002,17
Agham,2002,2
Agimdek,2010,4
Agin,2006,42
Agisiga,2001,5
Agiyome,2004,8
Aglik,2023,1
Agodopi Kasimbar,2014,8
Agom,2025,6
Agopaga,2002,21
Agotey,2012,23
Agrowisata,1013,6
Aguit,2001,13
Agulimo,2002,24
Aguluntipmu,2003,16
Agumaida,2025,1
Agung,1003,4
Agung Baru,2005,9
Agung Batin,2006,5
Agung Dalem,2007,20
Agung Jati,2022,7
Agung Jaya,2011,11
Agung Jaya,2004,13
Agung Jaya,2010,20
Agung Jaya,2001,6
Agung Koto Iman,2010,22
Agung Lawangan ,1022,3
Agung Mulya,2009,17
Agung Timur,2016,1
Agungmulyo,2017,8
Agusen,2027,1
Aha,2018,1
Aha Patung,2009,19
Ahanari,2007,5
Ahedano,2017,10
Ahilulu,2007,11
Ahu,2007,13
Ahuangguluri,2008,20
Ahuawali,2007,17
Ahuawatu,2019,4
Ahuloa,2007,25
Ahusen,1019,2
Ai Arama,2009,25
Ai Kangkung,2004,4
Ai Mual,2003,29
Aia Bangih,2001,1
Aia Dingin,1006,1
Aia Gadang,2006,3
Aia Gadang Barat,2016,3
Aia Gadang Timur,2015,3
Aia Manggih,2005,5
Aia Manggih Barat,2011,5
Aia Manggih Selatan,2010,5
Aia Manggih Utara,2009,5
Aib,2012,5
Aibobor,2010,1
Aibogiar,2006,2
Aibondeni,2003,11
Aibore,2002,6
Aibura,2004,9
Aie Amo,2004,6
Aie Angek,2008,4
Aie Angek,2007,1
Aie Batumbuak,2007,7
Aie Dingin,2004,4
Aie Luo,2003,5
Aie Pacah,1003,11
Aie Tajun Lubuk Alung,2004,1
Aifa,2004,6
Aifair,2014,2
Aifam,2008,12
Aifamas,2003,17
Aiga,2005,7
Aik Berik,2006,12
Aik Bual,2010,9
Aik Bukaq,2004,12
Aik Darek,2005,3
Aik Dewa,2005,12
Aik Ketekok,2014,1
Aik Madu,2003,6
Aik Mual,2011,1
Aik Pelempang Jaya,2013,1
Aik Prapa,2021,9
Aik Rayak,2015,1
Aikai,2003,1
Aikawapuka,2004,8
Aikima,2003,25
Aikingging,2006,13
Aikmel,2002,9
Aikmel Barat,2010,9
Aikmel Timur,2023,9
Aikmel Utara,2007,9
Aikrer,2004,3
Aikus,2005,12
Aikut,2003,15
Ailpailin,2007,2
Aimas,1001,7
Aimasi,2013,7
Aimasi,2004,4
Aimau,2002,13
Aimere,1002,1
Aimere Timur,2014,1
Aimo,2033,7
Aimoli,2007,2
Ainamsato,2009,21
Ainan,2004,12
Ainani Tajriani,2018,5
Aindua,2003,11
Ainena,2052,2
Ainesra,2001,13
Aing Bantai,2009,10
Aingogin,2010,10
Ainiut,2015,8
Ainod,2021,1
Aipakma,2008,11
Aipiri,2006,13
Air Abang,2015,15
Air Alun,2019,10
Air Anyir,2008,3
Air Apo,2005,20
Air Asam,2020,14
Air Asam,1010,2
Air Asuk,2001,7
Air Ba'us I,2010,19
Air Ba'us II,2011,19
Air Bajo,2018,4
Air Bakoman,2015,4
Air Balui,2004,14
Air Balui,2001,5
Air Banai,2005,19
Air Bang,1006,19
Air Baru,2014,8
Air Baru,2003,14
Air Batang,2017,7
Air Batu,2003,14
Air Batu,2008,16
Air Batu,1002,10
Air Batu Buding,2002,5
Air Batu Jaya,1027,10
Air Beliti,2009,20
Air Belo,2005,1
Air Bening,2007,4
Air Bening,2010,24
Air Berau,2006,4
Air Bersih,2012,21
Air Berudang,2011,8
Air Besar,2002,6
Air Besar,2007,5
Air Betung,2042,6
Air Bikuk,2001,4
Air Bini,2007,4
Air Biru,2006,6
Air Buaya,2006,2
Air Bulan,2012,4
Air Bulin,2013,4
Air Buluh,2004,1
Air Buluh,2004,5
Air Buluh,2011,4
Air Cekdam,2024,3
Air Dekakah,2002,3
Air Dikit,2002,14
Air Dingin,2012,4
Air Dingin,2009,8
Air Dingin,2011,5
Air Dingin Baru,2011,27
Air Dingin Lama,2010,27
Air Dua,2016,14
Air Dua,2002,3
Air Duku,1004,11
Air Duren,2009,4
Air Duren,2002,5
Air Durian Jaya,2003,21
Air Emas,2002,1
Air Emas,2009,3
Air Enau,2019,3
Air Gading,1011,13
Air Gading,2008,7
Air Gantang,2006,6
Air Garam,2008,33
Air Garam,2009,36
Air Garam,2009,1
Air Gelubi,2004,14
Air Gemuruh,2005,11
Air Genting,2013,13
Air Haji,2002,9
Air Haji Barat,2011,9
Air Haji Tengah,2012,9
Air Haji Tenggara,2008,9
Air Hangat,2008,11
Air Hitam,2005,13
Air Hitam,2008,10
Air Hitam,2006,2
Air Hitam,2009,15
Air Hitam,2001,1
Air Hitam,2003,8
Air Hitam,1004,11
Air Hitam,2010,4
Air Hitam,2023,2
Air Hitam,1006,3
Air Hitam Besar,2006,4
Air Hitam Laut,2002,5
Air Itam,2005,17
Air Itam,2013,5
Air Itam,2005,3
Air Itam,1007,1
Air Itam Timur,2007,3
Air Jamban,1001,9
Air Jelatang,2017,6
Air Jernih,2018,2
Air Joman,2002,9
Air Joman Baru,2003,9
Air Jukung,1002,2
Air Kalimat,2013,4
Air Kandis,2007,10
Air Kasai,2007,14
Air Kati,1009,3
Air Kati,2027,7
Air Kelian,2021,9
Air Kelik,2001,5
Air Kelinsar,2001,3
Air Kemang,2002,6
Air Kemuning,2043,1
Air Kenari,2015,1
Air Kepala Tujuh,1007,5
Air Kering,2005,14
Air Kering II,2009,14
Air Keruh,2013,15
Air Keruh,2006,13
Air Kopras,2005,12
Air Kotok,2015,4
Air Kuang,2021,3
Air Kubang,2002,26
Air Kumbang Bakti,2015,19
Air Kumpai,2001,22
Air Kuning,2007,5
Air Kuti,1001,1
Air Lago,2015,3
Air Lakok,2003,11
Air Lanang,2011,18
Air Latak,2002,8
Air Lelangi,2001,23
Air Lengit,2003,16
Air Lesing,2020,9
Air Liki,2008,23
Air Liki Baru,2014,23
Air Limau,2015,3
Air Limau,2007,1
Air Lingkar,2006,22
Air Lintang,1016,2
Air Lintang,2007,5
Air Long,2002,6
Air Mancur,2008,8
Air Mandidi,2005,9
Air Manganyau,2015,11
Air Mangga Indah,2014,6
Air Manis,1011,1
Air Masin,2013,4
Air Mawar,1011,1
Air Mayam,2010,7
Air Melancar,2012,4
Air Meles Atas,2002,11
Air Meles Bawah,2007,17
Air Menduyung,2013,2
Air Merah,2006,2
Air Merah,2010,19
Air Merah,2011,21
Air Merah,2007,6
Air Merbau,2012,1
Air Mesu,2004,2
Air Mesu Timur,2020,2
Air Molek,1007,4
Air Molek II,2008,4
Air Mumu,2002,1
Air Mundu,2001,10
Air Muring,2013,14
Air Nanang,2009,14
Air Naningan,2005,26
Air Napal,2005,16
Air Napal,2008,10
Air Nau,2009,21
Air Nusa,2002,19
Air Nyatoh,2005,2
Air Nyuruk,2005,4
Air Padang,2009,10
Air Palawan,2008,7
Air Panas,2004,16
Air Panas,2003,21
Air Panas,2005,16
Air Panas,2018,9
Air Panas Sungaiabu,2027,11
Air Pandan,2014,14
Air Paoh,2015,14
Air Payang,2002,10
Air Payangan,2005,3
Air Pedara,2012,19
Air Periukan,2005,6
Air Pesi,2010,7
Air Petai,2017,14
Air Petai,2045,1
Air Pikat,2020,10
Air Pinang,2015,8
Air Pinang,2024,4
Air Puar,2022,15
Air Putih,2021,8
Air Putih,2009,12
Air Putih,2011,1
Air Putih,2001,25
Air Putih,2017,2
Air Putih,2004,1
Air Putih,2005,4
Air Putih,2005,3
Air Putih,2012,6
Air Putih,1004,3
Air Putih Baru,1001,18
Air Putih Ilir,2014,10
Air Putih Kali Bandung,2001,11
Air Putih Lama,1013,9
Air Putih Ulu,2011,10
Air Raja,1008,8
Air Raja,1003,2
Air Raman,2025,1
Air Rambai,1025,9
Air Rami,2002,7
Air Ringau,2004,19
Air Ringkih,2004,9
Air Ruai,2001,5
Air Rumbai,2015,19
Air Rupik,2028,3
Air Rusa,2002,22
Air Saga,2010,1
Air Salemba,1005,6
Air Salobar,2008,5
Air Santok,2008,4
Air Satan,2017,9
Air Sebakul,2001,2
Air Sebayur,2001,24
Air Sekamanak,2002,24
Air Selimang,2002,7
Air Selumar,2006,4
Air Sempiang,2006,6
Air Sena,2002,7
Air Senggeris,2009,16
Air Seruk,2004,4
Air Sialang Hilir.,2024,6
Air Sialang Hulu,2025,6
Air Sialang Tengah,2026,6
Air Simpang,2003,24
Air Solok Batu,2001,14
Air Sulau,2011,7
Air Suning,2002,3
Air Talas,2018,3
Air Tarap,2019,4
Air Tawar,2006,8
Air Tawar,2035,6
Air Tawar Barat,1002,4
Air Tawar Timur,1001,4
Air Teluh,2003,5
Air Teluk Hessa,2012,13
Air Teluk Kiri,2001,31
Air Teman,1010,3
Air Tenam Dalam,2010,9
Air Tenang,2013,3
Air Tenang,2022,5
Air Tenang,2006,13
Air Terang,2003,7
Air Teras,2035,3
Air Terbit,2012,10
Air Terjun,2016,16
Air Ternate,2009,4
Air Tiris,1027,2
Air Umban,2019,3
Air Upas,2001,21
Air Wall,2016,22
Airapa,2008,22
Airbanua,2004,6
Airbara,2008,3
Airdingin,1012,7
Airgegas,2001,3
Airhitam Hulu,2013,4
Airkasar,2005,6
Airkulim,2002,16
Airlangga,1003,8
Airmadidi Atas,1008,3
Airmadidi Bawah,1005,3
